#DONT REMOVE TESTS
test1;-1 -      asd1 -test DA 1
test2;-.,-:`?test DA 2
test3;:::"""""""test DA 3
test4;+-.,123test DA 4

#USAGE:
#key;value
#e.g.
#throwDiceText;Du kastede med terningerne!

welcomeText;Velkommen!
languageSetText;Sprog: Dansk
getDan;Dansk
player;Spiller
roll;kast
rolled;Du slog
gold; guld
gain;Du får
lose;Du mister
yBalance;Dit guld:
p1Won;Spiller 1 du vandt!
p2Won;Spiller 2 du vandt!

tower;i
crater;i
palace;i
desert;i
city;i
monastery;i
cave;i
huts;i
werewall;i
pit;i
goldmine;i
